"uniqueid","highest_severity_rank","max_charge"
11693429,4,6
11693430,4,3
11693446,4,1
11693448,5,12
11693449,6,13
11693459,5,1
11693508,5,3
11693520,5,1
11693531,5,3
11693542,5,4
11693545,6,1
11693553,5,6
11693578,6,4
11693587,5,2
11693590,6,6
11693627,6,2
11693639,5,3
11693655,4,2
11693669,4,4
11693684,5,6
11693686,4,2
11693696,5,7
11693720,6,5
11693750,5,5
11693752,4,3
11693773,5,1
11693790,5,13
11693797,5,5
11694048,5,3
11694052,5,2
11694058,4,1
11694067,4,1
11694076,4,1
11694098,5,1
11694105,5,2
11694108,5,2
11694120,4,1
11694130,6,10
11694147,5,4
11694161,4,4
11694176,5,2
11694185,5,2
11694199,4,1
11694205,5,6
11694206,5,1
11694219,4,3
11694232,5,3
11694250,5,2
11694251,5,5
11694284,5,1
11694298,5,1
11694316,6,6
11694319,5,3
11694335,4,6
11694354,5,2
11694358,5,1
11694366,5,3
11694410,5,2
11694428,4,2
11694439,5,4
11694442,5,4
11694452,5,8
11694467,6,2
11694476,4,5
11694499,4,5
11694509,4,3
11694519,4,1
11694520,7,7
11694625,5,1
11694673,5,4
11694686,6,2
11694687,6,2
11694705,5,1
11694715,4,3
11694785,5,1
11694819,5,3
11694823,4,4
11694836,4,1
11694845,7,4
11694851,5,4
11694855,7,3
11694910,5,2
11694914,5,2
11694918,7,7
11694932,5,1
11694988,5,19
11694991,4,2
11695139,4,3
11695140,5,5
11695143,5,2
11695175,6,2
11695176,5,3
11695203,7,3
11695233,5,2
11695249,5,2
11695252,5,3
11695284,5,1
11695290,4,3
11696068,6,2
11696088,5,4
11696089,5,1
11696098,5,2
11696146,5,3
11696154,5,3
11696160,4,4
11696169,6,2
11696175,5,2
11696176,5,2
11696186,4,2
11696204,4,6
11696206,5,2
11696207,5,2
11696211,5,5
11696212,5,5
11696214,6,1
11696226,5,10
11696255,6,2
11696270,5,3
11696278,4,1
11696293,4,1
11696297,5,4
11696304,5,9
11696333,5,1
11696346,7,1
11696365,5,2
11696371,5,2
11696378,6,3
11696379,5,4
11696380,5,2
11696383,4,1
11696440,5,1
11696442,4,1
11696454,5,4
11696473,5,3
11696479,6,2
11696481,6,3
11696484,6,2
11696486,6,1
11696495,6,2
11696503,5,5
11696509,4,3
11696516,5,3
11696534,5,3
11696541,5,3
11696590,5,6
11696591,5,1
11696610,7,7
11696615,7,1
11696821,5,1
11696842,5,1
11696870,4,3
11696877,5,2
11696890,4,2
11696909,5,3
11696930,4,1
11696932,4,2
11696945,5,2
11696950,5,6
11696992,4,3
11697006,4,2
11697017,5,3
11697025,5,3
11697027,3,2
11697028,7,10
11697050,5,1
11697051,5,1
11697073,6,8
11697080,6,8
11697086,5,5
11697095,5,3
11697151,5,2
11697177,5,4
11697190,4,2
11697191,4,1
11697198,4,3
11697199,5,3
11697204,5,2
11697208,4,1
11697212,6,4
11697231,5,9
11697238,6,16
11697245,5,1
11697259,5,1
11697264,5,2
11697267,4,1
11697271,4,1
11697402,6,2
11697509,4,2
11697533,6,3
11697539,4,3
11697541,4,2
11697548,7,8
11697550,5,7
11697608,5,5
11697611,5,3
11697630,7,2
11697632,5,1
11697647,4,2
11697653,6,1
11697657,4,3
11697666,4,1
11697671,4,1
11697678,4,1
11697682,5,4
11697690,5,1
11697700,5,1
11697836,6,6
11697867,5,20
11697906,4,2
11697925,7,4
11697947,4,1
11697948,4,1
11697994,5,6
11697999,5,2
11698005,5,4
11698006,7,7
11698036,4,3
11698042,6,2
11698050,4,2
11698219,4,1
11698221,5,1
11698305,5,3
11698306,5,1
11698380,6,2
11698383,4,4
11698392,4,10
11698401,4,4
11698406,5,1
11698415,4,3
11698444,5,2
11698448,5,1
11698458,6,23
11698459,5,1
11698462,4,3
11698492,6,4
11698504,6,1
11698514,6,1
11698517,6,1
11698534,7,3
11698538,5,1
11698552,5,1
11698557,5,1
11698574,6,3
11698583,5,5
11698595,5,5
11698602,5,4
11698642,6,3
11698649,7,1
11698654,6,7
11698660,4,1
11698674,3,3
11698704,5,4
11698715,5,3
11698753,4,2
11698755,5,3
11698774,4,1
11698798,5,2
11698804,6,10
11698831,6,2
11698976,5,6
11698979,4,1
11698983,4,1
11698994,5,3
11699018,4,1
11699063,5,2
11699103,4,1
11699108,5,2
11699129,4,3
11699174,5,1
11699192,5,12
11699208,4,1
11699214,5,4
11699229,4,2
11699241,5,1
11699245,4,1
11699248,5,3
11699290,4,5
11699311,4,5
11699313,5,2
11699321,5,2
11699330,5,3
11699338,5,4
11699350,5,4
11699364,6,10
11699431,6,5
11699444,5,3
11699453,6,5
11699458,6,2
11699489,5,3
11699498,5,1
11699509,4,1
11699529,5,3
11699561,5,2
11699594,4,1
11700139,5,1
11700140,5,4
11700147,5,2
11700148,5,1
11700156,5,3
11700162,5,1
11700164,5,1
11700169,5,2
11700219,5,2
11700222,5,3
11700227,5,4
11700229,5,4
11700233,4,6
11700238,6,1
11700242,6,3
11700251,5,2
11700255,4,1
11700265,5,2
11700283,5,1
11700313,5,5
11700327,5,1
11700368,3,1
11700370,4,4
11700377,6,3
11700406,5,3
11700457,4,2
11700458,5,1
11700459,5,3
11700473,3,1
11700485,5,2
11700496,5,3
11700497,5,6
11700501,5,3
11700523,4,1
11700598,4,2
11700611,5,2
11700618,5,8
11700635,4,1
11700637,6,1
11700638,5,2
11700654,6,2
11700702,4,3
11700717,5,1
11700775,4,3
11700778,5,1
11701026,5,2
11701027,7,8
11701032,5,2
11701063,5,4
11701069,6,1
11701073,6,1
11701092,7,3
11701095,6,4
11701138,5,2
11701143,6,2
11701162,7,2
11701164,5,1
11701197,5,4
11701206,5,2
11701255,6,3
11701331,4,4
11701348,6,1
11701351,5,4
11701353,5,4
11701355,6,1
11701385,3,3
11701392,5,1
11701407,5,2
11701430,5,2
11701438,4,1
11701452,4,2
11701459,5,1
11701470,5,3
11701485,5,1
11701571,4,1
11701573,6,2
11701576,4,1
11701779,6,7
11701830,5,8
11702030,5,1
11702032,5,8
11702039,5,7
11702040,6,13
11702041,5,1
11702058,5,8
11702075,5,4
11702088,5,3
11702110,4,1
11702163,4,2
11702179,5,1
11702222,5,3
11702227,5,4
11702280,4,1
11702295,5,2
11702296,6,3
11702297,5,1
11702313,5,1
11702326,4,1
11702392,5,1
11702393,5,5
11702407,7,4
11702425,5,3
11702442,6,3
11702801,4,2
11702805,4,1
11702809,3,2
11702820,6,1
11702824,6,3
11702827,4,1
11702841,5,2
11702851,5,1
11702860,4,1
11702864,5,1
11702882,6,5
11702888,4,2
11702891,4,2
11702926,4,2
11702934,6,5
11702939,5,2
11702942,5,7
11702943,5,1
11702966,6,3
11702967,5,3
11702974,6,8
11702995,5,6
11702997,5,1
11703027,4,1
11703044,5,1
11703048,5,2
11703078,5,3
11703093,6,4
11703114,5,5
11703123,5,3
11703134,4,4
11703143,7,4
11703144,4,2
11703148,4,2
11703152,4,3
11703154,5,2
11703159,4,2
11703180,4,2
11703182,5,3
11703206,6,1
11703218,6,1
11703244,7,1
11703245,6,1
11703267,5,1
11703269,5,2
11703280,5,3
11703282,5,1
11703350,5,3
11703358,5,3
11703457,5,4
11703467,5,3
11703513,4,2
11703522,5,1
11703527,4,3
11703540,4,3
11703675,5,2
11703691,4,4
11703692,4,1
11703693,5,9
11703695,6,7
11703701,6,1
11703714,7,9
11703722,4,7
11703750,4,1
11703752,3,4
11703808,5,4
11703817,5,2
11703843,5,3
11703934,5,3
11703948,4,4
11703953,5,3
11703956,5,3
11703991,5,1
11703995,5,10
11703997,5,7
11703999,6,2
11704024,5,4
11704032,5,3
11704040,5,4
11704046,5,4
11704055,5,2
11704056,4,2
11704070,5,3
11704071,6,20
11704073,5,2
11704079,4,4
11704092,5,4
11704095,5,1
11704105,4,1
11708936,4,4
11709015,5,6
11709174,4,3
11709177,6,1
11709178,6,1
11709179,5,1
11709182,4,1
11709183,4,3
11709185,6,1
11709188,3,1
11709200,6,4
11709212,6,1
11709223,4,2
11709236,4,5
11709238,5,1
11709244,5,4
11709246,5,8
11709251,3,5
11709255,5,2
11709260,4,1
11709322,4,1
11709375,5,4
11709403,5,3
11709434,5,4
11709441,5,3
11709449,6,1
11709454,6,3
11709458,5,2
11709463,6,3
11709477,5,1
11709489,5,5
11709491,5,4
11709492,5,11
11709498,5,2
11709504,6,7
11709514,5,1
11709581,4,1
11709594,5,2
11709599,5,3
11709600,5,1
11709609,7,7
11709614,6,15
11709616,4,2
11709621,6,5
11709624,4,1
11709625,6,3
11709633,5,1
11709634,5,5
11709639,5,2
11709646,5,6
11709650,4,4
11709654,4,1
11709662,4,2
11709665,5,3
11709685,5,2
11709695,5,1
11709840,4,8
11709894,5,3
11709942,5,2
11709997,5,2
11710012,6,1
11710047,4,1
11710051,4,2
11710055,7,4
11710063,5,1
11710068,6,5
11710069,5,4
11710072,4,1
11710074,6,4
11710198,4,3
11710205,5,4
11710206,5,1
11710238,4,2
11710245,5,7
11710249,5,3
11710264,5,1
11710282,4,2
11710291,4,3
11710308,5,6
11710329,6,9
11710348,5,5
11710357,5,2
11710365,6,1
11710424,5,2
11710425,6,1
11710432,5,2
11710441,7,6
11710447,4,3
11710470,6,2
11710487,4,4
11710500,5,2
11710515,5,2
11710519,6,1
11710549,5,2
11710553,5,4
11710566,6,3
11710572,5,2
